url,headers,sub_headers,text,ID
https://ria.ru/20240405/puteshestviya-1937855322.html,Названы самые популярные блюда у пассажиров поездов,Эксперты назвали пюре с котлетой самым популярным блюдом у пассажиров поездов,"МОСКВА, 5 апр — РИА Новости. Эксперты рассказали, блюда каких кухонь мира пассажиры поездов чаще всего заказывают в дорогу, сообщает ""Еду Ем"". Эксперты сервиса доставки еды в поезд проанализировали данные по заказам за 2023 год в 100 российских городах, в которых представлена такая услуга. Затем специалисты составили рейтинг самых востребованных кухонь мира. Наибольшей популярностью пользуется традиционная русская. Ей отдает предпочтение каждый пятый пользователь. Чаще всего пассажиры заказывают пюре с котлетой и куриный суп, дальше в списке — яйца и курица.Около 18 процентов заказов приходится на блюда итальянской кухни — пиццу, лазанью, спагетти. Тройку лидеров замыкает фастфуд: 13 процентов клиентов просят доставить к вагону шаурму, гирос, донеры, бургеры, хот-доги, картошку фри. Кавказская кухня интересует 11 процентов пассажиров, а каждый десятый клиент просит привезти японские суши или роллы. В десятку самых популярных у путешественников вошли также блюда среднеазиатской кухни (плов, лагман), восточноазиатской (лапша на воке). Есть спрос на локальные продукты российских регионов (например, пермские посикунчики или бурятские буузы). Также востребована веганская еда и авторские сеты известных ресторанов.",7
https://ria.ru/20240105/retsepty-1918043622.html,Вкусно и быстро! Простые рецепты необычных новогодних десертов,Шеф-кондитеры поделились легкими рецептами новогодних кексов и пахлавы,"МОСКВА, 5 янв — РИА Новости, Мария Селиванова. Зимние каникулы — время для семейных чаепитий, для того, чтобы испечь торт или кекс вместе с близкими или приготовить самому, сделав сюрприз родным. Несложные рецепты вкусных десертов от шеф-поваров и ведущих кондитеров известных ресторанов — в подборке РИА Новости. Ингредиенты: Яблоко свежее — 70 грамм; Чернослив — 40 грамм; Курага — 40 грамм; Лимонный сок — 8 грамм; Мед — 40 грамм; Вода — 60 грамм; Бадьян — 2 звездочки; Мускатный орех — 2 грамма; Гвоздика — 3 штуки; Корица — 1 палочка; Коньяк — 10 грамм; Масло сливочное — 50 грамм; Сахар тростниковый — 40 грамм; Яйцо — 1 штука; Мука пшеничная — 70 грамм; Разрыхлитель — 4 грамма; Фундук — 55 грамм; Шоколад молочный или горький — 150 грамм; Масло растительное — 50 грамм. Способ приготовления: Нарезать яблоко, чернослив, курагу, смешать с бадьяном, мускатным орехом, гвоздикой, корицей. Влить мед и воду, прокипятить. Вытащить из кастрюли гвоздику, бадьян, корицу и оставить на ночь при комнатной температуре. Утром добавить коньяк и лимонный сок. Готовим вторую смесь. Масло с сахаром взбить добела в миске, добавить яйцо, муку с разрыхлителем и половину мелко нарезанного фундука. Вручную смешать обе смеси, чтобы не помять яблоки. Выпекать при температуре 150 градусов в течение 40 минут. Растопить шоколад, влить в него растительное масло, нагреть в течение 15 секунд, добавить орехи. Нанести эту глазурь на кекс. Сверху украсить дольками мандарина, двумя палочками корицы, звездочками бадьяна и веточками розмарина. Ингредиенты: Бисквит Джоконда: Миндальная мука — 125 грамм; Сахарная пудра — 125 грамм; Яйцо — 3 штуки; Пшеничная мука — 40 грамм; Растопленное сливочное масло — 40 грамм; Белок — 250 грамм; Сахар — 50 грамм. Малиновый конфи: Малиновое пюре — 300 грамм; Свежемороженая малина — 100 грамм; Пектин — 6 грамм; Сахар — 40 грамм. Глазурь: Молоко — 150 миллилитров; Сливочное масло — 15 грамм; Сахарная пудра — 480 грамм; Какао — 22 грамма; Стружка кокоса — 150 грамм. Крем Шанти: Сливки — 300 грамм; Маскарпоне — 150 грамм; Сахарная пудра — 45 грамм; Стручок ванили — 1 штука. Способ приготовления: Готовим бисквит. Пробиваем блендером до однородной массы миндальную муку, сахарную пудру, яйца, обычную муку. Взбиваем белок с сахаром, все должно получиться не слишком плотно. Половину белка вливаем в пробитую в блендере массу и перемешиваем. Добавляем растопленное сливочное масло и оставшийся белок, выкладываем на пергамент и отправляем в разогретую до 170 градусов духовку на 12 минут. Готовим малиновый конфи. Сахар смешиваем с пектином. Греем в сотейнике пюре и свежемороженую малину, чтобы масса стала теплой, и постепенно вливаем, помешивая, пектин. Доводим все до кипения, варим полминуты, снимаем с огня и остужаем час. Собираем рулет: на бисквит распределяем остывшую массу малинового конфи. Плотно скручиваем тесто, заматываем его в фольгу и убираем в холодильник на час. Готовим глазурь. Разогреть молоко со сливочным маслом (не до кипения), добавить сахарную пудру и какао, перемешать и убрать в холодильник. Когда глазурь остыла, рулет обваливаем в ней, затем в кокосовой стружке. Убираем в холодильник. Готовый рулет разрезать и выложить на тарелку, оставляя между кусочками пространство для крема. Все ингредиенты крема взбиваем и выкладываем между частями рулета с помощью кондитерского мешка. Торт декорируем ягодами и растопленным горьким шоколадом. Ингредиенты: Тесто фило — 500 грамм; Масло топленое — 100 грамм; Дробленые фисташки — 200 грамм; Мороженое — 70 грамм; Мед — 100 грамм; Сахар — 50 грамм; Вода — 100 грамм. Способ приготовления: Половину теста фило разделить на несколько слоев, промазать маслом и проложить дроблеными фисташками. Сверху накрыть слоями оставшегося теста и выпекать в духовке при 180 градусах до золотистого цвета. Залить выпечку горячим сиропом из воды, меда и сахара, нарезать на порции, остудить. Между двумя слоями теста положить мороженое. Ингредиенты: Сыр Cream Cheese — 500 грамм; Сахар — 139 грамм; Сливки — 312 миллилитров; Крахмал — 23 грамм; Куриное яйцо — 5 штук; Пюре юдзу — 20 грамм; Ягоды — по вкусу. Способ приготовления: Миксером смешать до однородной массы Cream Cheese и сахар. Взбить яйца блендером до меланжа, медленно влить в сырную массу. В полученную смесь добавить сливки с крахмалом и растопленное пюре юдзу. Форму для выпечки проложить пергаментом, сформировав борта. Залить сырную массу и выпекать в духовке полчаса при температуре 200 градусов. Готовить в режиме обдув. Подать на стол, украсив ягодами. Ингредиенты: Жареный миндаль — 250 грамм; Сливочное ⁠масло — 250 грамм; ⁠Сахар тростниковый — 200 грамм; Сахар обычный — 50 грамм; Мука — 70 грамм; Куриное ⁠яйцо — 5 штук; Ром темный — 50 грамм; Вишня свежемороженая — 300 грамм; Цедра мандарина — 1 штука; Сливки — 300 грамм; Маскарпоне — 75 грамм; Сахарная пудра — 40 грамм. Способ приготовления: Для бисквита: взбить масло с сахаром, добавить молотый миндаль и, хорошо перемешивая, влить яйца по одному. Добавить муку.  Полученную массу перемешать с ромом и натертой цедрой мандарина. Выложить тесто в форму и сверху засыпать вишней. Выпекать 20 минут при температуре 180 градусов, затем еще столько же, но при температуре 160 градусов. Остудить тесто. Для приготовления крема взбить сливки, маскарпоне и сахарную пудру. Отрезать ровный ломтик бисквита и пропитать темным ромом. Выложить сверху через кондитерский мешок крем. Украсить можно очищенными дольками мандарина и цедрой апельсина.",7
https://ria.ru/20231223/retsepty-1915841457.html,Не только глинтвейн. Оригинальные рецепты согревающих напитков,"Эксперты поделились необычными рецептами глинтвейна, грога и сырного рафа","МОСКВА, 23 дек — РИА Новости, Мария Селиванова. Глинтвейн, чай, капучино особенно хороши морозными зимними вечерами. Список легко расширить за счет напитков с необычными ингредиентами. Шеф-бармены и владельцы известных ресторанов поделились с РИА Новости фирменными рецептами глега, грога, какао и небанального кофе. Ингредиенты: Красное вино — 90 г Горько-сладкий ликер Cynar — 6 г Martini Fiero — 10 г Апельсиновый фреш — 40 г Кафрский лайм — долька Сахар — 10 г Мед с алоэ — 16 г Бадьян (для украшения) — 1 шт. Способ приготовления: Смешать все, подогреть. При подаче украсить звездочкой бадьяна. Ингредиенты: Вишневое пюре — 50 г Ром — 50 мл Сахар — 10 г Копченый чай Лапсанг сушонг (Чжен Шань Сяо Чжун) — по вкусу Мята — по вкусу Способ приготовления: Пробить в блендере 50 граммов ягоды, добавить десять граммов сахара и десять миллилитров кипятка. Процедить. Отдельно заварить чай Лапсанг сушонг. Смешать по 50 миллилитров рома, вишневого пюре и чая. Добавить мяту и довести почти до кипения. Перелить в чашку. Подавать горячим. Ингредиенты: Кофе — 40-60 мл Миндальное молоко — 150 мл Сироп со вкусом имбирного пряника — 1 мл Соленое печенье — 3 шт. Способ приготовления: Сварить один шот эспрессо или очень крепкого кофе, самый простой вариант — в кофемашине.  Подогреть миндальное молоко, не доводя до кипения. Добавить сироп. Взбить смесь ручным капучинатором или френч-прессом. Достаточно пяти движений поршнем. Влить горячий эспрессо и повторно взбить. Перелить в бокал и украсить соленым печеньем, также можно молотыми орешками и взбитыми сливками. Ингредиенты: Сливки жирностью 10 процентов — 100 мл Трюфельное масло — 1 г Эспрессо — 1 порция Ванильный сахар (сироп, мед) — по вкусу Копченая карамель — по вкусу Сыр пармезан — по вкусу Способ приготовления: Подогреть сливки вместе с порцией эспрессо на плите при температуре 60 градусов. Добавить трюфельное масло, сахар (ванильный сахар, сироп или мед), копченую карамель и тщательно перемешать. Электрическим венчиком или френч-прессом взбивать до состояния пенки. Перелить в кружку и украсить тертым пармезаном. Ингредиенты: Вино белое — 125 г Какао-порошок — две чайные ложки Пюре манго — 5 г Хурма — 5 г Гвоздика — 3 шт. Мед — 3 г Корица — 1 палочка Способ приготовления: Все смешать в сотейнике, довести до кипения. Перелить в кружку. Украсить палочкой корицы. Ингредиенты: Молоко — 200 мл Какао-порошок — две чайные ложки Сливочный ликер (""Бейлис"" или ""Амарула"") — 50 мл Маршмеллоу — по вкусу Способ приготовления: В теплое молоко насыпать две ложки какао, сахар и взбить венчиком. Отдельно в бокал — сливочный ликер. Налить какао и перемешать снизу вверх. Перед подачей украсить напиток маршмеллоу. Ингредиенты: Для сиропа (на несколько порций): Панела (выпаренный сок тростникового сахара) — 150 г Вода — 150 г Палочка корицы — 5 г Ваниль натуральная — 3 г Перец душистый — 4 шт. Гвоздика — 1 шт. Имбирь свежий — 20 г Мускатный орех целый — 1 гДля порции напитка: Шоколад Montanas — 25 г Молоко жирностью 3,2 процента — 80 г Сироп из специй и панелы — 25 г Джин с ароматом имбиря —20 г Взбитые сливки — 20 г Способ приготовления: Измельчить все специи, отправить их и панелу в сотейник с водой. Довести до кипения на среднем огне, постоянно помешивая, затем варить под крышкой на слабом огне 15 минут. Остудить до комнатной температуры, процедить и перелить в бутылку, хранить в холодильнике.Нагреть молоко до 65 градусов, добавить шоколад, приготовленный сироп, джин и перемешать маленьким венчиком или ручным капучинатором. Перелить в теплую чашку и украсить взбитыми сливками. Ингредиенты: Вино красное — 1 л Цедра лимона — 1 шт. Цедра апельсина — 1 шт. Кардамон — 3 г Гвоздика — 3 г Анис — 1 звезда Душистый перец — 3 г Корица — 2 шт. Изюм — 3 г Орех грецкий — 5 г Способ приготовления: Все смешать в сотейнике. Довести до кипения, затем варить на медленном огне 20 минут. Настоять сутки в темном месте. При подаче в каждый бокал добавить 50 миллилитров темного рома. Ингредиенты: Какао-порошок — 18 г Молоко жирностью 3,2 процента — 300 г Бурбон — 40 мл Ореховый ликер — 10 мл Сахар — 5 г Способ приготовления: Подогреть молоко, добавить столовую ложку какао и чайную ложку сахара, затем — бурбон и ореховый ликер. Перемешать. Ингредиенты: Пюре вишня-малина (на несколько порций): Пюре малины — 100 г Пюре вишни — 200 г Сахар — 100 г Вода — 200 г Бобы тонка — 10 г Корица (палочки) — 10 г Взвар (на одну порцию): Иван-чай — 2 г Горячая вода — 260 г Способ приготовления: В сотейник добавить пюре, воду, сахар, специи: корицу поломать, бобы тонка мелко нарезать. На среднем огне растворить сахар и, не доводя до кипения, 15 минут проваривать. Снять с плиты, накрыть крышкой и оставить на час. После — процедить и перелить в чистую сухую емкость. Обдать чай кипятком, залить горячей водой на три минуты, отфильтровать. Добавить 50 граммов приготовленного пюре, перемешать и разогреть до 90 градусов.",7
https://ria.ru/20231219/gastroturizm-1916577189.html,Эксперты рассказали о новых трендах в гастротуризме,"Эксперты рассказали, почему туристам нужно обязательно предлагать местные блюда","МОСКВА, 19 дек — РИА Новости. Эксперты рассказали, почему туристам обязательно предлагать местные блюда и напитки, сообщает пресс-служба II Всероссийского форума ""Развитие делового туризма в регионах России"" в Санкт-Петербурге. Во время мероприятия состоялась сессия ""Гастрономическая идентичность как точка роста территории в приеме деловых гостей"". Организатором и модератором выступил Леонид Гелибтерман, член правления Российского союза туриндустрии (РСТ), председатель комитета по гастрономическому туризму, президент Международного эногастрономического центра в Москве. Генеральный директор гостиницы ""Амбассадор Калуга"", глава представительства Федерации рестораторов и отельеров в Калужской Области Ирина Мельникова рассказала, как ее команда одной из первых в регионе начала организовывать гастрономические туры. Арт-директор ресторанов под международным знаком качества Ginza Project Татьяна Иванова отметила, что новый тренд сегодня – это веганское меню. А в связи с последними событиями в мире в винной карте – все больше российских напитков и настойки из морошки. Рассказала Татьяна Иванова и о том, что сама подача блюд порой превращается в театрализованное действо, чтобы гости хотели вернуться. Директор спа-отеля ""Ольга"" (ООО ""ГРИН"") в поселке Шерегеш Кемеровской области Наталья Ивушкина отметила, что все больше MICE-мероприятий проходит с проведением кулинарных мастер-классов из локальных продуктов.  Заместитель директора Дербентского музея-заповедника Вадим Кулиев процитировал Эриха Марию Ремарка: ""Город кажется человеку чужим, пока он в нем не поест и не выпьет"". Дагестан сегодня предлагает разнообразные туры, но эногастрономический туризм пользуется особым спросом. Бренд-шеф ресторана ""Сан-Марино"" в Петропавловске-Камчатском Антон Сальников рассказал, что в их заведении гостям показывают гастрономический театр: знакомят с культурой малых народов Севера, адаптируя их рецепты. Также  ""Сан-Марино"" устраивает специальные экспедиции для гурманов, в частности, на Командорские острова, к алеутам. Спикеры сессии сошлись во мнении, что именно гастрономическая идентичность того или иного региона открывает новые возможности для развития территорий.",7
https://ria.ru/20231217/blyuda-1916100238.html,"Россияне рассказали, какими блюдами разнообразят новогодний стол","Опрос: россияне хотят видеть на новогоднем столе хинкали, сугудай и морепродукты","МОСКВА, 17 дек — РИА Новости. Большинство россиян (почти 39 процентов) хотят видеть на новогоднем столе традиционные праздничные блюда: оливье, селедку под шубой, бутерброды с красной рыбой и икрой, холодец, но многие готовы разнообразить праздник блюдами различных регионов страны, сообщает tutu. Об этом говорится в результатах опроса сервиса путешествий, в котором приняли участие более тысячи человек. Так, побаловать себя кавказской кухней хотели бы 10,69 процента россиян. Среди желаемых блюд – садж, шашлык, ботишал, баранина, хинкали, осетинские пироги.  Блюда сибирской кухни – соленые грибы и черемшу, рыбный пирог, сугудай и пельмени – хотели бы видеть в праздник 5,76 процента респондентов. По 5,7 процента россиян отдали предпочтение блюдам дальневосточной и кубанской кухонь. Это строганина, олений язык, морепродукты, запеченная утка с рисом, свиные отбивные, сладкий хворост.  Блюда татарской кухни – зур балиш, губадию, жареного гуся – хотели бы видеть на столе 4,41 процента опрошенных. Примерно по 3,5-3,9 процента респондентов заинтересовались алтайскими, донскими или бурятскими блюдами. В Новый год они хотели бы полакомиться заливным из дичи, фаршированной щукой, мясом марала, ухой, фаршированным сазаном, курником, раками и варениками. Также в числе предпочтений оказались блюда башкирской и адыгейской кухонь. За них проголосовали по 3,2 процента опрошенных. От двух до 2,2 процента голосов набрали блюда карельской, удмуртской, марийской, якутской кухонь. Менее двух процентов респондентов хотели бы добавить на новогодний стол блюда калмыцкой кухни.",7
https://ria.ru/20231105/vystavka-1907582564.html,"На выставке-форуме ""Россия"" стартовал гастрономический фестиваль","В Москве на выставке-форуме ""Россия"" стартовал гастрономический фестиваль","МОСКВА, 5 ноя — РИА Новости. В Москве на выставке-форуме ""Россия"" на ВДНХ стартовал гастрономический фестиваль, сообщила пресс-служба ВДНХ.  Как рассказала заместитель мэра столицы Наталья Сергунина, 50-й фестиваль ""Гастрономическая карта России"" продлится до 12 апреля 2024 года. В его программе предусмотрены более 100 мероприятий с участием шеф-поваров, рестораторов и экспертов со всей страны.  По словам вице-мэра, главной площадкой фестиваля станет новое пространство на ВДНХ — ""Дом российской кухни"", расположенное слева от выставочно-культурного и экспозиционного центра Республики Узбекистан.  ""Фестиваль — часть большой программы выставки ""Россия"". На нем представлены кулинарные и культурные традиции разных народов нашей страны, ресторанные проекты от Калининграда до Камчатки. Гостей ждут не только дегустации и мастер-классы, но и выступления творческих коллективов. Приглашаем всех познакомиться с российским гастрономическим многообразием"", — добавила Сергунина.  В пресс-службе отметили, что по окончании выставки в ""Доме российской кухни"" будут на постоянной основе работать 15 стендов региональных кухонь, сцена для мастер-классов и спектаклей, дегустационное пространство ""Библиотека вкусов России"". Там можно будет купить вкусные сувениры — гастрономические специалитеты. Международная выставка-форум ""Россия"" презентует главные достижения страны во всех отраслях. Она будет работать на ВДНХ до 12 апреля 2024 года. В ней участвуют 89 регионов, 22 федеральных органа исполнительной власти (министерства и Федеральное агентство по государственным резервам), 20 компаний, корпораций и общественных организаций — всего 131 экспозиция.",7
https://ria.ru/20231104/vino-1907481122.html,"В винном павильоне на выставке ""Россия"" представили более 500 вин",В павильоне Главвино на выставке-форуме Россия на ВДНХ представили более 500 вин,"МОСКВА, 4 ноя - РИА Новости. Более 500 вин представлены в павильоне ""Главвино"", который открылся в субботу на выставке-форуме ""Россия"" на ВДНХ, убедился корреспондент РИА Новости в кулуарах мероприятия.  На площадке представлено вино различных российских производителей. Как убедился корреспондент, посетители могут продегустировать и купить вино, а также поучаствовать в викторине и получить приз.  Каждую пятницу, субботу и воскресенье на площадке проходят дегустации по 45 минут, которые посещают по 40 человек в день. По билету стоимостью в 200 рублей можно попробовать пять видов вина и закуски.  Ранее вице-премьер Виктория Абрамченко на выставке ""Россия"" на ВДНХ открыла экспозицию ""Есть свое!"", посвященную развитию отечественного АПК.  Выставка ""Россия"", начавшая свою работу в День народного единства, презентует главные достижения страны во всех отраслях, ее участники - все 89 регионов страны, федеральные министерства и ведомства, корпорации и общественные организации. Работа экспозиции продлится до 12 апреля 2024 года.",7
https://ria.ru/20231026/buryatiya-1905365447.html,В Бурятии именитые шеф-повара разработали новое меню региона,"В фирменное ""Меню Бурятии"", которое представил регион, вошло 36 новых блюд","УЛАН-УДЭ, 26 окт — РИА Новости. В Улан-Удэ завершился международный фестиваль ""Гастрокэмп Бурятия – 2023"", который организовал Туристский информационный центр ""Байкал"" при поддержке правительства Республики. “Гастрокэмп – это проект, который придуман нами для того, чтобы помогать регионам формировать меню из локальных продуктов”, – говорит президент Международного эногастрономического центра Леонид Гелибтерман. По его словам, гастрономия – драйвер развития туризма во всем мире. “И мы хотели помочь Бурятии составить новый взгляд на привычные продукты. В итоге получилось обширное меню из холодных и горячих закусок, основных блюд, десертов и напитков”, – рассказал Гелибтерман. В течение недели, с 18 по 26 октября, кондитеры и миксологи из Москвы, Уфы, Улан-Удэ и Монголии разрабатывали авторские рецепты из локальных продуктов, в которых постарались дать новое прочтение аутентичной кухне Бурятии.  В поисках вдохновения команда отправилась в экспедицию по Бурятии. В Селенгинском районе, тщательно изучив местные рынки и закупив фермерскую продукцию, участники проекта дали для селенгинцев и гостей из соседних районов Республики мастер-класс по блюдам из знаменитой местной облепихи, а также приготовили полноценный ""туристический обед"". В Тарбагатайском районе команда проекта встретилась с семейскими. Старообрядцы показали блюда, секреты которых передаются из поколения в поколение несколько сотен лет. В свою очередь, команда поделилась своим гастрономическим взглядом на блюда из местных продуктов, прежде всего из мяса.  В Баргузинском районе, на берегу Байкала, шефы дали мастер-класс и приготовили ""туристический обед"" в основу которого легли блюда из местной рыбы.  Ещё одна встреча, с представителями Джидинского района, была посвящена боргойской баранине. Профессионалы также провели мастер-классы в Байкальском колледже туризма и сервиса с участием 150 будущих поваров и преподавателей. Завершилось мероприятие презентационным гала-ужином ""Меню Бурятии"". В него вошли 32 блюда, 19 соусов и 6 напитков, в том числе блюда для формирования туристических ланч-боксов и заведений быстрого питания.  Это, например, закуска ""Байкальская сорожка в панировке"", похлебка кочевника ""Ая-Ганга"" с боргойской бараниной, мангиром и замбой, десерт ""Лариса Сахьянова"" в честь первой профессиональной бурятской балерины, апельсиновый чай ""Энергия огня"" с селенгинской облепихой. Попробовать блюда команды ""Гастрокэмпа"" приехал глава Бурятии Алексей Цыденов. Остался доволен.  ""Если вечером сел и от души, вкусно поел, то все шероховатости прошедшего дня сглаживаются, и засыпаешь с хорошим впечатлением, настроением и с легкой душой. Поэтому гастрономическая составляющая, на мой взгляд, – важнейшая в жизни"", – подчеркнул Цыденов. Отдал должное ""Меню Бурятии"" и Посол Сенегала в России Жан-Батист Тиатьи Тин. “Мы благодарны команде Леонида Гелибтермана, где собрались лучшие шеф-повара России – Александр Чернышов, Максим Лазарев, Антон Сальников, Эрдэнээ Сумьяадорж (Монголия). А также миксолог Евгений Шкарин и шеф-кондитер Марина Девятко. Очень приятно, что в составлении меню участвовали профессионалы и из Бурятии – это Артем Курикша (ресторан ""Тэнгис""), Саян Доржиев (ресторан ""Орда""), Иван Сафронов (кафе ""Эфир"" и ""Эмпатио эфир"")”, – отметила Ирина Суздальцева, директор Туристского информационного центра ""Байкал"". По словам Суздальцевой, благодаря проекту регион получил оригинальное и аутентичное меню, которое поможет республике развивать туризм, а местным жителям – открыть новые вкусы привычных продуктов. Все технологические карты на созданные блюда передаются Министерству туризма Бурятии и ТИЦ ""Байкал"". После этого, заведения общественного питания могут любые блюда из меню выбрать, чтобы готовить у себя. “И это для них совершенно бесплатно”, – подчеркнул Гелибтерман. Проект ""Гастрокэмп"" проводится в России с 2021 года. Впервые команда профессионалов составляла меню для Калужской области. В 2022 году проект пришел на Камчатку, сначала в региональном масштабе, а летом этого года в международном формате: были представлены блюда, созданные в стиле тихоокеанской кухни. Над ""Камчатским меню"" работали шефы из России, Перу, Таиланда и Индонезии, в том числе обладатели двух звезд Michelin. В Республике Бурятия и Камчатском крае запланированы к открытию региональные Центры гастродипломатии.",7
https://ria.ru/20231019/tyumen-1903462281.html,,,,7
https://ria.ru/20231018/buryatiya-1903565153.html,В Бурятии лучшие шеф-повара создадут меню региона из локальных продуктов,"В Бурятии на ""Гастрокэмпе"" лучшие шеф-повара создадут меню из местных продуктов","МОСКВА, 18 окт — РИА Новости. В Улан-Удэ с 18 по 26 октября проходит международный ""Гастрокэмп"", где известные шеф-повара из разных регионов России и Монголии на основе кулинарных традиций местных народов разработают новые авторские блюда для фирменного меню республики. ""Туризм для гурманов в Бурятии поступательно развивается уже несколько лет. Регион стал центром проведения международных форумов ""Гастрономические дороги Великого шелкового пути"", — говорит руководитель проекта ""Гастрокэмп"", президент Международного эногастрономического центра и член правления Российского союза туриндустрии (РСТ) Леонид Гелибтерман.  По его словам, сейчас Бурятия активно подключается к новому проекту ""Чайный путь"", поскольку на территории республики находится город Кяхта — традиционный центр дореволюционного пути этого напитка в Россию. Вместе с руководством Бурятии ведется работа над созданием центра российской гастродипломатии в Азии. К тому же республика активно позиционирует себя как туристический регион. В состав федеральной части команды проекта вошли шеф-повара Антон Сальников (Москва), Александр Чернышов (Хабаровск), Максим Лазарев (Уфа), Эрдэнээ Сумьяадорж (Монголия), а также миксолог Евгений Шкарин (Уфа) и кондитер Марина Девятко (Москва). Команду Бурятии представляют шеф-повара Артем Курикша, Иван Сафронов и Саян Доржиев. По словам Леонида Гелибтермана, в этом проекте будет ряд важных этапов. Первый — это выезд в несколько сельских районов, где пройдет знакомство команды поваров с локальными производителями и отбор продуктов для блюд меню Бурятии. Также шефы из разных российских регионов проведут мастер-классы, поделятся тонкостями и новыми техниками работы с мясом, рыбой, ягодами, дикоросами. Они создадут из местных продуктов варианты обедов для туристов и предложат профессиональному сообществу свое меню. ""Конечно, мы пообщаемся с отельерами, поварами, представителями туристического бизнеса о том, как в районах принимать организованных и индивидуальных туристов, — подчеркнул руководитель ""Гастрокэмпа"". — Трое суток заложили на этот этап. Потом будут мастер-классы в Байкальском колледже туризма и сервиса"". По словам Леонида Гелибтермана, в программе запланированы выступления по гастродипломатии, также приглашен посол Сенегала в России, который расскажет об успешном опыте по привлечению зарубежных туристов. Завершится ""Гастрокэмп"" гала-ужином, который пройдет 25 октября, на нем шефы представят авторские блюда и напитки для фирменного меню Бурятии. Все предложения позже будут доступны в ресторанах и кафе республики. ""К проекту мы готовились больше года. И вот теперь благодаря ""Гастрокэмпу-2023"" у нас появилась возможность увидеть в Улан-Удэ именитых шеф-поваров из разных российских регионов и Монголии, — говорит директор ТИЦ ""Байкал"" Ирина Суздальцева. — С нетерпением ждем новое бурятское меню!""",7
