ID,url,headers,sub_headers,text
6,https://realty.ria.ru/20240408/akvilon-1938523069.html,"""Аквилон"" привлек почти 12 млрд рублей в ""Сбере"" на проект жилья в Москве","""Аквилон"" привлек почти 12 миллиардов рублей в ""Сбере"" на проект жилья в Москве","МОСКВА, 8 апр - РИА Недвижимость. Сбербанк открыл девелоперской компании ""Аквилон"" трехлетнюю кредитную линию объемом более 11,5 миллиарда рублей для финансирования строительства жилого комплекса на Рязанском проспекте в Москве, сообщила пресс-служба компании.  Всего в комплексе ""Аквилон Beside 2.0"" рядом с метро ""Нижегородская"" запланировано 1,1 тысячи квартир, указывается в сообщении.  Как добавляется в нем, это четвертый проект компании в Москве, кредитуемый Сбербанком. Общий объем проектного финансирования по ним составляет почти 38 миллиардов рублей.  ""Аквилон"" создан в 2003 году в Архангельске, строит в Санкт-Петербурге, Москве, Архангельске и Северодвинске."
6,https://radiosputnik.ru/20240408/putin-1938522905.html,Путин дал поручения по строительству магистрали Москва – Петербург,Путин поручил выделить 300 млрд рублей на строительство ВСМ Москва – Петербург,"МОСКВА, 8 апреля/ Радио Sputnik. Президент РФ Владимир Путин поручил выделить из Фонда национального благосостояния (ФНБ) не менее 300 миллиардов рублей для строительства высокоскоростной железнодорожной магистрали из Москвы в Санкт-Петербург. Срок выполнения поручения – до 1 июля 2024 года. Ответственным назначен премьер-министр РФ Михаил Мишустин. Строительство высокоскоростной железнодорожной магистрали Москва – Санкт-Петербург предусмотрено проектом Транспортной стратегии РФ до 2030 года. Благодаря ей время в пути между двумя городами сократится до двух часов 15 минут. Радио Sputnik сообщало, что в Химках начали строить мост для скоростной магистрали Москва – Санкт-Петербург. Такого Telegram-канала, как у нас, нет ни у кого. Он для тех, кто хочет делать выводы сам."
6,https://realty.ria.ru/20240408/logopark-1938500489.html,Radius Group построит логопарк в Подмосковье,"""Коммерсант"": Radius Group построит логопарк в Подмосковье","МОСКВА, 8 апр – РИА Недвижимость. Radius Group планирует построить построит логопарк в селе Белый Раст Дмитровского района Подмосковья логопарк на 270 тысяч квадратных метров, сообщила газета ""Коммерсант"". Как рассказал изданию гендиректор компании Захар Вальков, проект, получивший название ""Северные врата"", будет реализован в 2024-2029 годах как для сдачи в аренду на свободном рынке, так и под конкретных заказчиков. Объем инвестиций в строительство комплекса оценивается в 16-18 миллиардов рублей. Radius Group основана в 2006 году, в том числе рядом инвесторов из Великобритании. Самым крупным объектом компании в РФ был логопарк ""Южные врата"" площадью 460 тысяч квадратных метров в Подмосковье. Этим объектом девелопер владел совместно с чешской PPF Group, которая после начала военного конфликта между Россией и Украиной решила продать все свои российские активы. В конце 2022 года комплекс ""Южные врата"" был продан группе ""Венталл"" оценочно за 18-23 миллиардов рублей. Позже стало известно, что Radius Group намерена сократить свое присутствие на российском рынке, сконцентрировавшись на работе, в частности, в ОАЭ, где девелопер собирается построить 500 тыс. складов в Дубае и Абу-Даби. Сейчас, по данным газеты, 51% в ООО ""Радиус групп"" принадлежит Натали Саймонс, остальные 49% - у семьи гендиректора компании Захара Валькова."
6,https://realty.ria.ru/20240408/dogma-1938082792.html,Dogma построит жилой квартал в Подмосковье за 75 млрд рублей,Dogma построит жилой квартал в Подмосковном Пушкине за 75 миллиардов рублей,"МОСКВА, 8 апр - РИА Недвижимость. Краснодарский девелопер Dogma вложит 75 миллиардов рублей в строительство квартала на 668 тысяч квадратных метров в подмосковном городе Пушкино, рассказал РИА Недвижимость президент компании Денис Морозов. Речь идет о квартале ""Публицист"" в 17 километрах от МКАД по Ярославскому шоссе. В его составе запланированы дома высотой от 9 до 15 этажей, а также две школы на 3,3 тысячи учеников, пять детских садов, физкультурно-оздоровительный комплекс и поликлиника. Реализовать проект планируется в четыре очереди. Он уточнил, что в первую очередь войдут пять жилых корпусов на 3,8 тысячи квартир, паркинги и детский сад. Компания уже получила разрешение на строительство первых трех домов суммарно на 2 тысячи квартир. Dogma специализируется на строительстве жилья, социальной и коммерческой недвижимости в Краснодарском крае, Московской области, Омске."
6,https://realty.ria.ru/20240405/stroitelstvo-1938059008.html,Володин и Хуснуллин обсудили вопросы развития стройкомплекса России,Володин и Хуснуллин обсудили вопросы развития российского стройкомплекса,"МОСКВА, 5 апр - РИА Новости. Спикер Госдумы Вячеслав Володин провёл рабочую встречу с вице-премьером Маратом Хуснуллиным по вопросам законодательного обеспечения развития строительного комплекса России, сообщила пресс-служба ГД.  По словам Володина, приведенным пресс-службой, с 2020 по 2023 год было принято 110 федеральных законов, направленных на решение этой задачи, 39 из них - в прошлом году. За этот же период внесено 520 значимых поправок в федеральное законодательство, из которых 150 — в 2023 году, отметил спикер нижней палаты.  ""Председатель ГД отметил результаты строительной отрасли за прошлый год: 110,4 миллиона квадратных метров составил объем ввода жилья, построено и отремонтировано 31,5 тысяч километров дорог. В ходе встречи речь также шла о проблемах, которые требуют поиска законодательных решений и станут предметом рассмотрения в Государственной Думе"", - отмечается в сообщении пресс-службы ГД."
6,https://realty.ria.ru/20240405/samolet-1937981057.html,"""Самолет"" построит 650 тысяч ""квадратов"" жилья в Ростове-на-Дону","""Самолет"" построит 650 тысяч ""квадратов"" жилья в Ростове-на-Дону за 100 млрд руб","МОСКВА, 5 апр - РИА Недвижимость. Девелопер ""Самолет"" построит 650 тысяч квадратных метров жилья на левом берегу Дона в Ростове-на-Дону, вложив в проект более 100 миллиардов рублей, говорится в сообщении застройщика.  В нем указывается, что утвержден инвестиционный проект развития ростовской агломерации, в рамках которого запланирован жилой квартал более чем на 16 тысяч жителей.  ""Комплекс расположится в районе улицы Пойменная в непосредственной близости от ""Ростов Арены"". В рамках проекта планируется возвести почти 650 тысяч квадратных метров жилья на территории, которая включает в себя 43 гектара под строительство собственно жилья, 85 гектаров займет благоустройство, 55 гектаров предназначено для объектов социальной инфраструктуры и общественного назначения, а объекты транспортной инфраструктуры будут оборудованы на семи гектарах"", - говорится в сообщении. В нем добавляется, что 5% квартир будут переданы администрации города под социальные программы. На реализацию проекта отводится 18 лет.  Девелоперская группа ""Самолет"" работает в Москве, Подмосковье, Ленинградской области, а также в других регионах. Основные акционеры компании - Михаил Кенин и Павел Голубков."
6,https://realty.ria.ru/20240404/most-1937860615.html,Началась активная фаза строительства нового разводного моста через Неву,Началась активная фаза стройки нового разводного моста через Неву в Петербурге,"С.-ПЕТЕРБУРГ, 4 апр - РИА Новости. В Санкт-Петербурге началась активная фаза строительства Большого Смоленского моста - забетонирована первая стойка опоры эстакады будущей переправы, сообщила пресс-служба администрации губернатора города.  ""Строительство Большого Смоленского моста вступило в активную фазу - на левом берегу Невы забетонировали первую стойку опоры эстакады будущей переправы. Работы выполнил Мостоотряд-99 - филиал АО ""Дороги и Мосты"", - говорится в сообщении.  Стойки опор эстакады, по которой автомобили будут съезжать с моста на проспект Обуховской обороны, входят в единый архитектурный ансамбль и имеют сложную геометрическую форму. В настоящее время в русле реки проводится подготовка к сооружению опор моста. Работы также идут на правом берегу – вблизи Октябрьской набережной.  Ранее сообщалось, что в марте был подписан контракт на строительство Большого Смоленского моста с АО ""Дороги и Мосты"". Компания берет на себя обязательство до середины апреля 2025 года разработать рабочую документацию, а в 2029 году планирует завершить все работы по строительству моста и прилегающей дорожной инфраструктуры. По проекту помимо моста подрядчик построит три крупные развязки, обеспечивающие интеграцию переправы в существующую улично-дорожную сеть, а также подземные переходы. Кроме того, ему предстоит переложить более 120 километров коммуникаций и благоустроить прилегающие территории.  Ранее сообщалось, что 24 декабря 2023 года был установлен закладной камень на месте будущей 9-й опоры Большого Смоленского моста. В феврале этого года Госстройнадзор Санкт-Петербурга выдал разрешение на строительство Большого Смоленского моста (1-й этап).  Новый разводной мост соединит берега Невы на самом большом промежутке в черте города - между Володарским мостом и мостом Александра Невского в обход исторического центра. К улично-дорожной сети его подключат через развязки – на проспекте Обуховской обороны, Октябрьской набережной и на пересечении Дальневосточного проспекта с улицей Коллонтай и Союзным проспектом. Новая переправа спроектирована в петербургских традициях и органично впишется в существующий архитектурный облик города, а также значительно улучшит транспортную ситуацию в Северной столице.  Большой Смоленский мост будет иметь шесть полос автомобильного и две - трамвайного движения, тротуары и велодорожку. Разводной пролет шириной 60 метров обеспечит регулярный пропуск судов. Переправа длиной 1,6 километра будет стоять на 10 опорах. В сведенном положении высота центральной части над водой - 15 метров."
6,https://radiosputnik.ru/20240404/mariupol-1937855452.html,"В Ленобласти рассказали, какие объекты помогают восстанавливать в Мариуполе",Власти: строители Ленобласти восстанавливают Мариупольский краеведческий музей,"МОСКВА, 4 апреля/ Радио Sputnik. Работу строителей Ленинградской области в Мариуполе проинспектировал вице-губернатор Ленобласти Николай Циганов, сообщает региональная администрация. Строители из Ленобласти сейчас восстанавливают поврежденную в ходе боевых действий Водонапорную башню начала ХХ века, а также Мариупольский краеведческий музей, Центральную библиотеку и Лицей Приазовского государственного университета, говорится в публикации. Доклад о выполнении обязательств Ленобласти по восстановлению новых территорий представлен губернатору области Александру Дрозденко, добавляет ""Петербургский дневник"". Между Северной столицей РФ и Мариуполем установлены побратимские отношения. Радио Sputnik также сообщило, как советник губернатора Санкт-Петербурга по работе в новых регионах Александр Малькевич оценил восстановление Мариуполя. Такого Telegram-канала, как у нас, нет ни у кого. Он для тех, кто хочет делать выводы сам."
6,https://realty.ria.ru/20240404/zastroyschiki-1937825610.html,Российские застройщики в среднем задерживают сдачу жилья на пять месяцев,"""ЕРЗ.РФ"": российские застройщики в среднем задерживают сдачу жилья на 5 месяцев","МОСКВА, 4 апр - РИА Недвижимость. Российские застройщики по состоянию на апрель в среднем задерживают сроки сдачи домов на 5,2 месяца, с учетом объектов, строительство которых остановлено, средний срок запаздывания ввода составляет 8,3 месяца, сообщил РИА Недвижимость представитель портала ""ЕРЗ.РФ"".  По данным ЕРЗ, в Москве средний перенос планируемых сроков ввода в эксплуатацию строящихся объектов меньше общероссийского - 4,7 месяца.  Перенос фактического срока ввода за последние 12 месяцев в среднем по стране составляет 8,1 месяца, в Москве - 4,3 месяца.  По регионам максимальный средний срок задержки ввода зафиксирован аналитиками ЕРЗ в Ингушетии (41,9 месяца), Омской области (25,8 месяца) и Дагестане (23,3 месяца). Минимальный - в Орловской области (0,2 месяца), Удмуртии (0,2 месяца) и Забайкальском крае (менее 0,1 месяца)."
6,https://realty.ria.ru/20240404/shkoly-1937794561.html,В России введут более 360 новых школ на 300 тысяч мест в этом году,Турчак: введение в эксплуатацию 363 новых школ запланировано в этом году в РФ,"МОСКВА, 4 апр - РИА Новости. Ввод в эксплуатацию 363 новых школ на более 300 тысяч мест запланирован в этом году в РФ, сообщил секретарь генсовета ""Единой России"" Андрей Турчак.  При этом он отметил, что по оценке Минпросвещения есть риски по вводу в эксплуатацию 134 школ в 54 регионах. Региональным штабам нужно активно работать, чтобы все было закончено качественно и в срок, подчеркнул Турчак.  ""Вынужден констатировать, что по стройке есть незакрытые долги с 2023 года и даже 2022… Коллеги, нужно предметно разобраться в причинах таких сбоев и принять меры по исправлению ситуации"", - указал он."
