topic,index
0,0
6,1
4,2
7,3
4,4
3,5
3,6
1,7
2,8
3,9
0,10
1,11
8,12
1,13
5,14
0,15
0,16
0,17
3,18
7,19
1,20
8,21
6,22
0,23
7,24
1,25
0,26
0,27
3,28
1,29
8,30
5,31
5,32
1,33
1,34
0,35
3,36
1,37
8,38
0,39
7,40
4,41
0,42
2,43
3,44
0,45
5,46
8,47
0,48
4,49
3,50
3,51
0,52
1,53
5,54
3,55
4,56
5,57
0,58
0,59
1,60
1,61
6,62
7,63
1,64
1,65
2,66
1,67
1,68
1,69
0,70
8,71
1,72
2,73
0,74
7,75
3,76
5,77
0,78
3,79
8,80
5,81
0,82
0,83
1,84
3,85
8,86
8,87
2,88
5,89
0,90
5,91
3,92
2,93
3,94
3,95
5,96
4,97
3,98
3,99
5,100
3,101
3,102
3,103
5,104
2,105
1,106
3,107
0,108
3,109
3,110
7,111
1,112
3,113
2,114
1,115
5,116
5,117
4,118
7,119
7,120
5,121
5,122
0,123
6,124
3,125
5,126
3,127
1,128
4,129
4,130
0,131
3,132
0,133
1,134
2,135
7,136
3,137
1,138
3,139
0,140
0,141
1,142
4,143
2,144
3,145
3,146
3,147
4,148
3,149
0,150
1,151
3,152
1,153
5,154
0,155
0,156
1,157
0,158
4,159
0,160
3,161
5,162
3,163
3,164
3,165
3,166
8,167
5,168
0,169
6,170
3,171
1,172
0,173
0,174
2,175
0,176
3,177
0,178
1,179
6,180
3,181
0,182
4,183
7,184
8,185
0,186
5,187
3,188
1,189
3,190
1,191
0,192
4,193
3,194
8,195
0,196
3,197
0,198
0,199
2,200
0,201
1,202
0,203
4,204
7,205
8,206
1,207
2,208
7,209
1,210
5,211
4,212
1,213
0,214
3,215
3,216
0,217
7,218
3,219
3,220
0,221
0,222
0,223
4,224
4,225
3,226
5,227
1,228
1,229
7,230
0,231
6,232
0,233
0,234
4,235
6,236
8,237
3,238
3,239
3,240
0,241
6,242
7,243
7,244
0,245
2,246
3,247
2,248
4,249
5,250
7,251
0,252
3,253
0,254
2,255
3,256
1,257
4,258
7,259
0,260
1,261
3,262
3,263
2,264
0,265
7,266
0,267
3,268
7,269
1,270
4,271
1,272
3,273
2,274
3,275
8,276
0,277
0,278
3,279
7,280
0,281
5,282
4,283
0,284
2,285
3,286
7,287
4,288
7,289
0,290
6,291
7,292
0,293
6,294
3,295
5,296
0,297
0,298
1,299
0,300
8,301
6,302
2,303
0,304
5,305
3,306
0,307
1,308
0,309
3,310
3,311
4,312
5,313
3,314
0,315
0,316
4,317
3,318
2,319
3,320
7,321
3,322
5,323
1,324
3,325
3,326
0,327
4,328
0,329
1,330
0,331
6,332
5,333
3,334
3,335
0,336
1,337
5,338
2,339
4,340
2,341
3,342
0,343
4,344
4,345
6,346
4,347
0,348
0,349
8,350
0,351
4,352
1,353
3,354
0,355
4,356
2,357
6,358
3,359
4,360
0,361
3,362
4,363
2,364
8,365
2,366
0,367
4,368
8,369
4,370
4,371
0,372
1,373
4,374
0,375
8,376
7,377
0,378
5,379
1,380
0,381
3,382
7,383
0,384
1,385
7,386
1,387
0,388
2,389
2,390
4,391
1,392
1,393
3,394
0,395
2,396
0,397
7,398
3,399
0,400
6,401
1,402
3,403
6,404
4,405
0,406
4,407
0,408
8,409
5,410
0,411
6,412
3,413
1,414
3,415
3,416
1,417
0,418
8,419
3,420
8,421
1,422
0,423
0,424
1,425
0,426
3,427
5,428
5,429
0,430
8,431
7,432
0,433
3,434
3,435
0,436
8,437
7,438
0,439
0,440
8,441
3,442
2,443
5,444
3,445
0,446
0,447
0,448
3,449
0,450
0,451
7,452
6,453
1,454
3,455
3,456
7,457
2,458
3,459
0,460
0,461
1,462
5,463
2,464
0,465
3,466
0,467
3,468
1,469
2,470
2,471
8,472
0,473
3,474
4,475
0,476
0,477
1,478
8,479
0,480
0,481
3,482
3,483
3,484
6,485
1,486
4,487
3,488
3,489
0,490
4,491
4,492
0,493
0,494
5,495
3,496
0,497
0,498
7,499
8,500
3,501
1,502
1,503
0,504
5,505
0,506
4,507
3,508
0,509
4,510
7,511
6,512
8,513
7,514
6,515
3,516
1,517
3,518
0,519
2,520
0,521
3,522
4,523
6,524
0,525
8,526
0,527
1,528
1,529
3,530
7,531
3,532
3,533
3,534
3,535
0,536
3,537
5,538
4,539
2,540
5,541
1,542
0,543
0,544
0,545
3,546
8,547
6,548
2,549
0,550
8,551
1,552
7,553
4,554
3,555
0,556
2,557
0,558
0,559
4,560
5,561
3,562
7,563
2,564
8,565
2,566
5,567
0,568
1,569
0,570
0,571
8,572
3,573
0,574
3,575
2,576
4,577
3,578
3,579
7,580
7,581
8,582
7,583
3,584
7,585
0,586
4,587
8,588
4,589
0,590
4,591
6,592
5,593
0,594
8,595
1,596
1,597
0,598
0,599
1,600
5,601
5,602
1,603
8,604
0,605
7,606
0,607
4,608
3,609
1,610
4,611
2,612
5,613
0,614
3,615
1,616
0,617
8,618
0,619
2,620
3,621
0,622
4,623
3,624
4,625
0,626
6,627
3,628
3,629
2,630
6,631
3,632
0,633
0,634
4,635
1,636
2,637
0,638
1,639
3,640
8,641
2,642
0,643
0,644
4,645
0,646
1,647
8,648
3,649
7,650
8,651
2,652
3,653
1,654
1,655
7,656
0,657
7,658
3,659
3,660
4,661
0,662
0,663
3,664
3,665
4,666
0,667
1,668
3,669
5,670
4,671
3,672
0,673
1,674
6,675
1,676
1,677
7,678
3,679
8,680
0,681
5,682
8,683
3,684
0,685
4,686
6,687
2,688
4,689
8,690
0,691
0,692
1,693
0,694
0,695
0,696
3,697
0,698
5,699
3,700
3,701
2,702
5,703
3,704
0,705
0,706
0,707
1,708
0,709
0,710
1,711
0,712
1,713
5,714
1,715
1,716
0,717
1,718
5,719
1,720
0,721
4,722
8,723
3,724
0,725
7,726
0,727
0,728
5,729
3,730
4,731
0,732
3,733
4,734
1,735
5,736
3,737
8,738
0,739
6,740
7,741
0,742
8,743
3,744
0,745
3,746
0,747
7,748
0,749
4,750
5,751
8,752
2,753
0,754
1,755
5,756
1,757
7,758
0,759
4,760
0,761
1,762
3,763
8,764
0,765
0,766
4,767
3,768
8,769
5,770
5,771
0,772
3,773
3,774
3,775
2,776
0,777
3,778
3,779
3,780
0,781
1,782
1,783
0,784
0,785
4,786
0,787
1,788
3,789
1,790
7,791
0,792
5,793
1,794
1,795
3,796
0,797
5,798
0,799
5,800
3,801
6,802
8,803
8,804
0,805
3,806
4,807
1,808
5,809
3,810
3,811
3,812
0,813
3,814
0,815
2,816
3,817
7,818
1,819
0,820
7,821
0,822
7,823
8,824
7,825
5,826
6,827
0,828
4,829
0,830
1,831
3,832
0,833
5,834
7,835
5,836
0,837
0,838
3,839
8,840
0,841
3,842
5,843
1,844
1,845
7,846
4,847
0,848
5,849
0,850
0,851
1,852
8,853
4,854
8,855
3,856
1,857
5,858
0,859
8,860
7,861
4,862
8,863
0,864
8,865
8,866
4,867
1,868
4,869
3,870
7,871
4,872
1,873
5,874
0,875
4,876
1,877
8,878
0,879
1,880
5,881
4,882
0,883
7,884
4,885
7,886
8,887
1,888
1,889
3,890
1,891
3,892
2,893
3,894
0,895
3,896
0,897
0,898
8,899
1,900
8,901
8,902
3,903
3,904
3,905
7,906
0,907
4,908
0,909
0,910
1,911
3,912
7,913
7,914
1,915
3,916
5,917
0,918
4,919
6,920
2,921
4,922
3,923
3,924
3,925
0,926
0,927
4,928
4,929
3,930
3,931
1,932
0,933
3,934
8,935
3,936
4,937
2,938
3,939
1,940
0,941
4,942
0,943
1,944
3,945
1,946
3,947
3,948
0,949
8,950
1,951
8,952
3,953
5,954
3,955
0,956
3,957
8,958
1,959
3,960
4,961
6,962
4,963
3,964
3,965
0,966
5,967
0,968
5,969
0,970
3,971
0,972
0,973
1,974
3,975
0,976
1,977
2,978
0,979
0,980
7,981
1,982
0,983
4,984
0,985
2,986
4,987
7,988
3,989
3,990
0,991
0,992
0,993
5,994
1,995
5,996
7,997
5,998
0,999
5,1000
1,1001
8,1002
3,1003
4,1004
3,1005
0,1006
7,1007
1,1008
5,1009
0,1010
3,1011
0,1012
1,1013
3,1014
5,1015
0,1016
1,1017
5,1018
3,1019
7,1020
4,1021
2,1022
3,1023
0,1024
8,1025
8,1026
0,1027
2,1028
7,1029
6,1030
4,1031
3,1032
2,1033
0,1034
1,1035
1,1036
1,1037
1,1038
3,1039
1,1040
2,1041
3,1042
6,1043
3,1044
3,1045
1,1046
0,1047
5,1048
7,1049
4,1050
1,1051
0,1052
1,1053
4,1054
4,1055
5,1056
3,1057
5,1058
5,1059
1,1060
4,1061
0,1062
0,1063
0,1064
1,1065
4,1066
3,1067
0,1068
7,1069
0,1070
4,1071
2,1072
0,1073
6,1074
1,1075
3,1076
3,1077
3,1078
2,1079
8,1080
8,1081
0,1082
7,1083
4,1084
1,1085
1,1086
8,1087
3,1088
3,1089
1,1090
1,1091
7,1092
7,1093
8,1094
1,1095
5,1096
4,1097
0,1098
3,1099
8,1100
1,1101
3,1102
6,1103
5,1104
7,1105
1,1106
0,1107
8,1108
2,1109
5,1110
3,1111
1,1112
1,1113
3,1114
4,1115
1,1116
3,1117
4,1118
0,1119
3,1120
8,1121
8,1122
1,1123
1,1124
4,1125
4,1126
3,1127
3,1128
2,1129
2,1130
1,1131
3,1132
0,1133
4,1134
8,1135
3,1136
7,1137
1,1138
4,1139
3,1140
1,1141
0,1142
3,1143
8,1144
0,1145
0,1146
3,1147
6,1148
3,1149
4,1150
3,1151
4,1152
6,1153
2,1154
0,1155
7,1156
5,1157
0,1158
3,1159
8,1160
3,1161
3,1162
0,1163
3,1164
5,1165
0,1166
8,1167
4,1168
8,1169
3,1170
4,1171
7,1172
3,1173
2,1174
0,1175
3,1176
7,1177
1,1178
6,1179
4,1180
5,1181
5,1182
6,1183
3,1184
0,1185
1,1186
7,1187
3,1188
5,1189
3,1190
7,1191
7,1192
2,1193
0,1194
2,1195
2,1196
0,1197
3,1198
4,1199
3,1200
1,1201
0,1202
0,1203
